,desc,fasilitas_total,kamar,km,lantai,lb,lokasi,lt,price,sertifikat,tipe
187,"['Rumah luas tanah 420m, ada rumah utama dan rumah kos 6 pintu dengan kamar mandi dalam. Cocok untuk dibuat kosan hingga puluhan kamar, lokasi dekat dengan perkantoran; atau dibuat kantor. ', None, 'Jalan didepan rumah bisa 2 mobil dan hanya 100m dari jalan utama.', None, 'Rumah dijual dengan furniture AC dll, tapi harga jualnya hanya dihitung dari nilai tanahnya saja.', 'Rp. 28.5jt/meter.', None, 'Rumah ingin dijual cepat.', None, 'Silahkan WA utk peminat agar dpt direspons cepat.']","['AC', 'Carport', 'Garden', 'Garasi', 'Water heater', 'Refrigerator', 'Microwave', 'Gordyn']",>10,9,2,300,Tebet,420,11.970.000.000,SHM - Sertifikat Hak Milik,Rumah
188,"['Rumah kost tanjung duren', 'Uk 6 x 12.5', '4 lantai', '24 kamar tidur kamar mandi dalam', 'Token masing2', 'Jalan 2 mbl', 'Full ', 'Hrg 4.2m nego', None, 'kpr dibantu..hub CHANDRA']",,>10,>10,4,204,Grogol Petamburan,75,4.200.000.000,,Rumah
189,"['KAISAR SERPONG', None, None, 'MAU RUMAH SIAP HUNI?', '*Ready stock dan masih banyak tipe lain yang lebih MURAH!', None, 'TIPE FLAMBOYAN', 'dan Kamu Galau cari rumah 800 jutaan di sekitar serpong ?', None, 'BOOKING FEE CUMA 5 JUTA ', None, 'HANYA DENGAN SAYA CUMA (roy) 3 JUTA!', None, 'FREE BIAYA-BIAYA', '*LANGSUNG BALIK NAMA SHM', '*MENUNDA BERARTI DAPAT HARGA LEBIH MAHAL', None, 'HAL YANG KALIAN WAJIB TAHU!', None, 'AWAL BERDIRINYA KAISAR SERPONG 2018 HARGA AWAL CUMA 299JT DAN SEKARANG SUDAH 600JT+!!', None, 'INGAT~!', None, '*MENUNDA BERARTI DAPAT HARGA LEBIH MAHAL', None, 'Ettt ngak usah Galau-', 'Galau.!!Kini Kaisar Serpong hadir untuk mengatasi kegalauan kamu', None, 'KAISAR SERPONG', None, 'merupakan Hunian Modern 2 lantai. TERMURAH ,TERSTRATEGIS', None, 'ANTI BANJIR', None, 'di area SERPONG', None, 'Yang pasti IDAMAN kamu banget deh!', None, 'Dengan harga Rp.600-800 jutaan ,kamu bisa dapatkan Rumah 2 lantai dengan Desain Modern di cluster yang EXCLUSIVE Dan SELANGKAH MENUJU STASIUN', None, 'DAN SAYA JANJI Hanya dengan saya Roy Anda dapat suatu yang menarik!!']","['AC', 'Swimming Pool', 'Carport', 'Garasi', 'PAM', 'Garden']",3,2,2,54,Kebayoran Lama,120,826.000.000,SHM - Sertifikat Hak Milik,Rumah
190,"['Rumah siap huni luas 6x15 90m type 3KT Pondok Kelapa Jakarta Timur ', None, 'Bangunan 2,5 lantai', 'Luas tanah : 90m', 'Diameter : 6x15', 'Bangunan : 150m', 'Kamar tidur : 3', 'Kamar mandi : 2', 'Listrik : 3500 watt', 'Hadap : Timur', 'Carport : 1', 'AC : 3 unit', 'Lainnya : CCTV, water heater', 'Sertifikat : SHM (sertifikat hak milik)', None, 'Akses jalan 1 mobil', 'Bebas banjir', 'Dekat dengan SD,SMP,SMK dan Universitas', '5 menit ke Tol Becak Kayu', '15 menit ke Tol dalam kota', '10 menit ke Tol Jorr', '10 menit ke Tol Cikampek', 'Dekat Rumah Sakit Islam Pondok Kopi', 'Dekat RSUD Duren Sawit', None, 'Harga jual : 1.5M ', None, 'More Info :', 'Devi', 'RE/MAX Premier JGC', '#RL']","['AC', 'Carport', 'Water heater']",3,2,2,150,Duren Sawit,90,1.500.000.000,SHM - Sertifikat Hak Milik,Rumah
191,"['Di Jual & Di Sewakan Cepat rumah harga miring lokasi strategis di Kemang Jakarta Selatan', None, '*LT : 575m2', '*LB : 210m2', '*KT : 3 +1 kantor', '*KM : 3', '*KTP : 1', '*Sertifikat : SHM', None, '*Harga Sewa : 6 juta/hari', '*Nilai Investasi 19juta/meter', None, 'Hubungi kami:', 'Ubeproperty']","['Carport', 'Garasi', 'Garden', 'PAM', 'Swimming Pool']",4,4,1,210,Mampang Prapatan,575,11.000.000.000,SHM - Sertifikat Hak Milik,Rumah
192,"['Luas tanah : 120 m2', None, 'Luas bangunan : 150 m2', None, 'Kamar tidur : 3+1', None, 'Kamar mandi : 3+1', None, 'Jumlah lantai : 2', None, 'Sertifikat : SHM', None, 'Listrik : 2200 VA', None, 'Harga : Rp. 2.5 M NETT', None, '* Rumah Cantik, Siap Huni di area Bintaro Jaya 1 Jakarta Selatan', None, '* Sistem keamanan terjaga 24 jam', None, '* Fasilitas lengkap di sekitar area, antara lain pusat perbelanjaan, pasar, supermarket, sekolah, rumah sakit, rumah ibadah, pusat kuliner, bank, dll', None, '* Dekat area Pondok Indah dan Lebak Bulus', None, '* Diapit oleh beberapa akses tol dan dekat dengan stasiun Pondok Ranji', None, 'Informasi lebih lanjut :', None, 'Soraya Dwinanda', None, 'Edwin Bright Property', None, 'Cek profile saya, untuk mendapatkan info rumah yang sedang dipasarkan saat ini di area Jabodetabek', None, 'Percayakan JUAL BELI SEWA PROPERTY anda kepada kami']","['Carport', 'Garden']",4,4,2,150,Pesanggrahan,120,2.500.000.000,SHM - Sertifikat Hak Milik,Rumah
193,"['Townhouse Bagus dan Modern Minimalist Area Kenanga , Cilandak', None, 'Spect : ', 'Luas Tanah = 224m2 ', 'Luas Bangunan = 395m2 ', 'KT = 3 ', 'KM = 3 ', 'Ruang belajar ', 'Dapur ', 'Kolam Renang ', 'Daya Listrik 16.500watt ', 'Garasi = 2 Mobil ', 'Harga Jual 9,5M ', 'Harga Sewa 450jt/thn ', None, '* Lokasi bebas banjir ', '* Security 24jam ', '* Lingkungan aman dan tenang ', '* Akses jalan lebar 2 arah ', None, 'Ayooo buruan , dapat kan segera townhouse ini']","['AC', 'Swimming Pool', 'Carport', 'Garasi', 'PAM', 'Water heater']",3,3,2,395,Cilandak,224,9.500.000.000,SHM - Sertifikat Hak Milik,Rumah
194,"[""Turun harga !! Dijual rumah standart di Jalan Raya Bangun Cipta Sarana , cocok untuk usaha ,bisa untuk kos-kos'an , lokasi bebas banjir dan posisi hook , harga bisa nego dan bisa dibantu KPR sampai goal"", None, None, None, '- Kamar Tidur 5+2', None, '- Kamar Mandi 2+1', None, '- 1Line Telepon', None, '- Ada Garasi', None, '- Sertifikat Hak Milik', None, '- Sumber Air PAM+Sanyo', None, '- Listrik 2200 Watt', None, '- Hadap Selatan']","['Telephone', 'PAM', 'Garasi']",7,3,2,200,Kelapa Gading,172,3.600.000.000,SHM - Sertifikat Hak Milik,Rumah
195,"['Dijual, rumah mewah 1 lantai dalam cluster eksklusif, tanah ngantong hoki lancar,  Gandaria, JakSel.', None, 'Lokasi sangat atrategis :', '- 350 meter ke MRT Cipete Raya.', '- 500 meter ke LotteMart Fatmawati', '- 1,5 km ke Jakarta Intercultural School', '- 2 km ke BPK Penabur', None, 'SPESIFIKASI : ', 'LT : 1.025 m²', 'LB : 427 m²', 'KT : 5 + 2', 'KM : 5 + 1', 'Garasi : 2 mobil', 'Carport : 2 mobil', 'Hadap : Timur Laut', 'SHM & IMB komplit.', None, 'Harga : *Rp. 21,5 M* (nego)', None, 'Silakan ditanya-tanya terlebih dahulu, jika nanti cocok boleh survei ke lokasi agar lebih mantap. FENDY siap membantu anda untuk memiliki rumah ini.']","['Carport', 'Garasi', 'Garden', 'PAM', 'Swimming Pool']",6,6,1,427,Cilandak,1025,21.500.000.000,SHM - Sertifikat Hak Milik,Rumah
196,,,,,,,,,,,
197,"['Kamu mau yang bagaimana?', 'Pasti sambil nyanyi bacanya ya?', 'Apapun yang kamu mau, aku bisa!', None, 'CUMA DISINI SATU-SATUNYA DEVELOPER YANG KASIH HARGA RUMAH 2 LANTAI LOKASI SUPER BAGUS SANGAT STRATEGIS TERMURAH DI BINTARO!', None, 'CLUSTER BOSTON RESIDENCE BINTARO', None, 'PROMO HARGA 689JT', 'Masih Kurang Murah? Tenang, Bisa NEGO Bro!', 'Mau Apa Lagi? Kita Kasih Nih FREE SHM Senilai 50JTan!', None, 'Bisa Custom Layout Suka-Suka! Ciptakan Rumah Idaman Kamu Di Sini!', '1000000000% ANTI BANJIR! ANTI RAYAP!', None, 'Akses :', '-Pintu TOL Kunciran - Serpong', '-Stasiun KRL Sudimara', '-Fresh Market Bintaro', '-RS. PONDOK INDAH BINTARO', '-Masjid Al-Aqsha', None, 'Cara Pembayaran :', '>>CASH KERAS 739 JUTA NEGO KERAS', '>>CASH BERTAHAP (DP 50% CICILAN 5X)', '>>JALUR KTA - Khusus ', '    PNS/BUMN/TNI/POLRI/PEGAWAI BUMN ', '    (Payroll BNI DAN MNDIRI)', None, 'SURVEY YUK! MAKIN CEPAT BELI MAKIN UNTUNG!']","['AC', 'Carport', 'Garden', 'Garasi']",3,2,2,48,Pesanggrahan,60,600.000.000,SHM - Sertifikat Hak Milik,Rumah
198,"['* * * * WANT TO SALE! * * * *', '《《   KEBAYORAN BARU   》》', 'Jl. CIPAKU, PETOGOGAN', 'T/B. 374 / 300 || SHM', 'K.TIDUR 4 || K.MANDI 4', 'FACING NORTH / UTARA', None, '* * * JARANG ADA!! * * *', '#IDR. 25M (MASI NEGO)', None, 'Dekat: Senopati, Melawai, Blok M, Sudirman, Senayan, SCBD, Gatot Subroto, RS Fatmawati, Brawijaya, Dharmawangsa, Pattimura, Kebayoran Baru, Gunawarman, Prapanca Raya, Pasar Santa', None, 'Untuk Informasi - Transaksi - Survey hub : ', 'WENDY LIM - [no telp di atas]', None, 'Apabila bpk/ibu sedang mencari Property Butuh bantuan untuk Memasarkan Property :', '( Gedung / Rumah/ Apartment / Ruko / Office Space / Tanah / Pabrik / Gudang / Hotel / Villa )']",,4,4,,300,Kebayoran Baru,374,25.000.000.000,,Rumah
199,"['1. Sertipikat SHM ', '2. LT 450m2, LB 250m2 x 2', '3. Hadap Utara & Timur', '4. KT Utama 6 ', '5. KT Pembantu 2 ', '6. KM Dalam 2 ', '7. KM Luar 2', '8. KM Pembantu 1', '9. Listrik 11000w', '10. Genset 5500w', '11. PAM & Jet PAM', '12. TV Kabel & Internet First Media & Indihome', '13. Tlp 1 Line', '14. Water Heater Solahart', '15. Garasi 2 mbl sejajar', '16. Karpot 8 mbl ', '17. Full Kanopi Baja Ringan', '18. Bangunan full beton, lisplang beton, fondasi cakar ayam, full bata merah', '19. AC ada 8pc', '20. Dapur basah & dapur kering', '21. Ruang cuci baju & jemur baju', '22. Tinggi dari jalan 1.5m']","['PAM', 'Gordyn', 'Carport', 'Telephone', 'AC', 'Water heater', 'Garasi']",5,4,2,333,Pulo Gadung,444,8.800.000.000,SHM - Sertifikat Hak Milik,Rumah
200,"['Dijual Rumah Siap huni', 'Spesifikasi :', None, 'Luas Tanah : 508 M2', 'Luas Bangunan : 400 M2', '2 1/2 Lantai', '3 Kamar Tidur+Kamar Mandi Dalam', '3 Kamar Tidur Tanpa Kamar Mandi Dalam', '1 Kamar Mandi Luar', 'Kolam Berenang', '2 Taman ( Depan & Belakang )', '2 Teras ( Depan & Belakang )', '1 Teras Balkon ( Hadap Depan )', '1 Dapur Bersih', '1 Dapur Kotor', '2 Kamar Pembantu', '1 Kamar Mandi Pembantu', '1 Gudang', '1 Pos Satpam', 'Garasi Muat 4 Mobil', 'Listrik 4400Watt', 'Air Tanah', None, '- Sertifikat Hak Milik', '- Kondisi Siap Huni', '- 10 Menit Menuju Lap. Terbang Pondok Cabe', '- Berbatasan dengan kota depok, akses melalui cinere raya']","['AC', 'Carport', 'Garasi', 'Garden', 'Swimming Pool']",6,5,2,400,Kebayoran Baru,508,5.500.000.000,SHM - Sertifikat Hak Milik,Rumah
201,"['Rumah terawat', 'Kamar 3 + 1', 'Kamar mandi 2 + 1', '3 lantai', 'Include ac, shower room, kloset', 'Ubin lantai 60x 60 cm']","['Garasi', 'AC', 'PAM', 'Water heater']",3,3,3,288,Tanjung Priok,96,3.500.000.000,SHM - Sertifikat Hak Milik,Rumah
202,"['TERMURAH DAN TERLARIS DI DEPOK', 'Raffika Residence ', 'Cluster cash Only No KPR', 'Sebuah hunian berkonsep modern minimalis dan dengan harga terjangkau kini hadir di Depok', 'Nyaman, asri dan bebas banjir', 'SHM & IMB sudah perkavling', 'One gate sistem', 'Row jalan luas', None, 'Gratis pagar', 'Graris kanopi', 'Gtatis biaya balik nama SHM', None, 'Lokasi :', 'Pasir putih  sawangan kota depok', 'Dekat stasiun citayam', 'Dekat pasar', 'Dekat pusat grosir bulak timur', 'Dekat RS/puskesmas', 'Dekat sekolah sekolah', 'Dekat tempat wisata (D,Kandang, Putri Duyung, Pondok Zidan, pasir putih waterpark)', 'CASH & CASH BERTAHAP']","['Carport', 'Garasi', 'Garden']",2,1,1,42,Pasar Minggu,65,340.000.000,SHM - Sertifikat Hak Milik,Rumah
203,"['Ukuran 8 x 15', '2 setengah Lantai ', 'KT 3 + 1', 'KM 2 + 1', 'Listrik 2200 watt', 'Air Pam', 'SHM']",['PAM'],3,2,2,120,Cengkareng,120,2.000.000.000,HGB - Hak Guna Bangun,Rumah
204,,,,,,,,,,,
205,"['Di jual MURAH rumah 2 lantai cocok utk investasi dan berbagai macam usaha kantor, bank, bengkel, swalayan, penginapan,dan usaha lainnya, Denah Ruangan dan Letaknya mendukung di jalur Bisnis Menghadap SELATAN jarang Ada, di Jalan Raya Sunter Kemayoran Bebas Banjir STRATEGIS dekat dengan : ', 'ITC Cempaka Mas 3 menit,Jl Yos Soedarso (PintuTol) 3 menit, Cempak Putih 5 menit, PRJ Kemayoran 10 menit.', 'Fasilitas :', 'Garasi 2 mobil ', '1 Kios', 'Teras', 'Ruang Tamu,', 'Ruang Kumpul lt.Bawah,', 'Ruang Kumpul lt.Atas', 'Ruang Cuci dan Jemur', 'Ruang Makan,', '4 Kamar Tidur, ', '2 Kamar Mandi,', 'Dapur,', 'Telpon, ', 'Air PAM, ', 'Listrik 2200Watt, ', '2 Unit AC', 'SHM,IMB PG,PBB', 'Khusus yang Berminat langsung :', '1.Suvai; ', '2.Harga Nego', '3.DP Tanda Jadi atau', '   Transaksi Pelunasan']","['AC', 'Carport', 'Fire Extenguisher', 'Garasi', 'Gordyn', 'PAM', 'Telephone', 'Water heater']",4,2,2,200,Tanjung Priok,184,4.900.000.000,SHM - Sertifikat Hak Milik,Rumah
206,"['Dijual Rumah dan Kios Pinggir Jalan ', 'Cocok untuk Hunian dan Usaha ', None, 'Luas Tanah 365m', 'Luas Bangunan +- 250m', None, 'Kamar Tidur 4', 'Kamar Mandi 2', '1 Lantai', 'Masih ada lahan kosong dibelakang', None, 'Strategis:', 'Dekat Kelurahan Cikeas Udik', 'Dekat Pintu Tol Cimanggis Cibubur', 'Dekat Jalan Alternatif Cibubur', None, 'Sertifikat Hak Milik (on Hand)', None, 'Harga 850jt Nego Sampai Jadi']","['Carport', 'Garasi']",4,2,1,250,Tebet,365,850.000.000,SHM - Sertifikat Hak Milik,Rumah
207,"['Dijual cepat rumah 2 lantai siap huni with swimming pooldi kawasan lebak bulus ', None, '-lingkungan nyaman dan asri', '-lokasi strategis', '-rumah siap huni', '-dekat dengan rumah sakit, mall, pintu toll, stasiun MRT dan juga sekolah anak', None, 'detail:', 'LT / LB : 440 / 350 ', 'KT/KM : 4+1 / 3+1', 'SHM', None, 'HARGA    Rp. 10,1 M masih nego', None, 'more info & show unit hub:', 'NUGIE ', 'Edwin Bright Property']","['Carport', 'Swimming Pool', 'Garden', 'Garasi']",4,3,2,350,Cilandak,440,10.100.000.000,SHM - Sertifikat Hak Milik,Rumah
208,"['BELI RUMAH DISINI SAJA', 'Banyak Pilihan Rumah Siap Huni Dengan Type Yang Bervariasi dan Desain Rumah Yang Elegant', 'Proses Mudah & Cepat', 'Proses KPR Ga Pake Ribet', 'Tanpa DP ( DP 0% )', 'Dan Yang Jelas Kami Amanah,Memberikan Bukti Bukan Janji.', 'buruuan jngan tunda tunda lagi utk beli rumah & berInvestasi rumah itu gak ada rugi nya loh.', 'ANDA CUKUP MEMBAYAR BOOKING FEE 4JT ALL IN SAJA', 'DP 0% TANPA DP', 'FREE BIAYA KPR', 'FREE BIAYA SURAT SURAT', 'FREE BIAYA NOTARIS', 'FREE BIAYA ASURANSI JIWA & KEBAKARAN', 'Legalitas aman & Spesifikasi Bangunan Berkualitas', 'Sertifikat SHM & IMB Pecah Perkavling', 'BOMAR 4  RESIDENCE', 'Rumah 1 Lantai Ready Stock Siap Huni dan Siap Akad Credit', 'Luas Tanah : 90', 'Luas Bangunan : 45 ', '2 KAMAR TIDUR', '1 KAMAR MANDI', 'Lokasi : jl.smpn 6 depok']","['AC', 'Carport', 'Garden', 'Garasi', 'Telephone', 'PAM']",2,1,1,45,Kebayoran Lama,90,675.000.000,SHM - Sertifikat Hak Milik,Rumah
209,"['Rumah mewah di condet', 'Jalanan Akses 2 mobil', 'Carport 2 Mobil & bbrp motor', 'Depan halaman luas', 'Lingkungan spt cluster', 'Akses keluar masuk 1 pintu dg penjaga', '2 Km Mandi dg water heater', 'Semua Km Tidur ber AC', 'Kitchen Set', 'Toren air 1000lt & 500lt berikut water threatment', 'Bangunan sangat kokoh', '#Jualrumah', '#jualrumahcepat', '#jualrumahidaman', '#rumahdijual', '#rumahdijualmurah', '#rumahdijualcepat', '#rumahdijualjakarta', '#rumahdijualjakartatimur', '#rumahmurah', '#rumahminimalis']","['AC', 'Carport', 'Garden', 'Gordyn', 'Microwave', 'Stove', 'Telephone', 'Water heater']",4,4,2,315,Kramat Jati,166,2.300.000.000,SHM - Sertifikat Hak Milik,Rumah
210,"['DIJUAL RUMAH [HUB: DHYANA  (FAST RESPONSE VIA WA ^_^)] FREE KONSULTASI KPR (BCA, PANIN, UOB, CIMB, BNI, Danamon, Permata, dll', None, 'Dijual rumah siap huni di tanjung duren', 'Luas tanah 4x11', 'Surat shm', 'Jln 2 mobil', 'Carpot 1 mobil', 'Listrik 2200 watt', 'Kmr tdr 2', 'Kmr mandi 3', 'Hdp timur', 'Harga 1.650M Nego tipis', None, 'HARGA NEGO', 'KPR BISA DIBANTU', 'INFO DAN SURVEY HUB: DHYANA ', 'FAST RESPONSE VIA WA', None, '[HUB: DHYANA] Segera hubungi kami untuk berkonsultasi dan mendapatkan SEMUA informasi seputar properti pada area ini ( HOT listing, harga pasaran, harga BU, dan lokasi terbaik ) - Your best property service agency in Indonesia. -DHY-']",,2,3,2,110,Grogol Petamburan,44,1.650.000.000,SHM - Sertifikat Hak Milik,Rumah
211,"['ALASAN MEMILIH PERUMAHAN SERENITY TOWNHOUSE CIRACAS ?', None, '1. Lokasi Strategis', '2. Bebas Banjir', '3. Investasi Menarik', '4. Rumah bergaya minimalis modern', '5. Security 24 jam', '6. Sistem satu gerbang/ one gate system', '7. Developer terpercaya', '8. Lingkungan ramah', '9. Dekat dengan pusat perbelanjaan dan pasar tradisional', '10. Design rumah modern dan kokoh', '11. Terdapat ruko serenity di depan cluster', None, '*KEUNGGULAN LOKASI', 'LOKASI DI PINGGIR JALAN UTAMA', 'SAMPING STASIUN LRT CIRACAS', 'DILALUI ANGKUTAN UMUM', 'DEKAT DENGAN TERMINAL KP.RAMBUTAN', 'DEKAT DENGAN TOL JORR', 'DEKAT DENGAN TOL JAGORAWI', 'DEKAT DENGAN LOTTE MART', 'DEKAT DENGAN PASAR MODERN DAN TRADISIONAL', 'DEKAT DENGAN RUMAH SAKIT', 'DEKAT DENGAN SEKOLAH ISLAM INTERNASIONAL MAUPUN LOCAL', 'DEKAT DENGAN TMII', 'DEKAT DENGAN PUSAT PERBELANJAAN (MALL)', None, '10 Menit ke pasar rebo', '10 Menit ke pasar Induk Kramat Jati.', '10 menit ke gerbang tol Jorr Taman mini', '15 menit ke taman mini indonesia indah.']","['Carport', 'Garden', 'PAM']",3,2,2,68,Ciracas,78,1.460.700.000,SHM - Sertifikat Hak Milik,Rumah
212,['Dijual cepat kontrakan bisa Nego tipissss'],['Gordyn'],1,1,1,35,Kebon Jeruk,43,450.000.000,SHM - Sertifikat Hak Milik,Rumah
213,"['Di jual rumah di jalan damai 2, cipete utara, kebayoran baru, jakarta selatan', 'LT/LB : 910 m2/360 m2', 'Jumlah kamar : 5 kamar + 2 kamar pembantu', 'Kamar mandi : 4 + 1 kamar mandi pembantu', 'Carport : 2', 'Garasi : 2', 'Listrik : 23.000 watt ', 'Hadap : selatan', 'Area bebas banjir, masuk kompleks perumahan di lengkapi dgn pos satpam, private kompleks ( hanya 7 rumah )', 'Mall terdekat dari rumah: Lippomall kemang, pondok indah mall', 'Rumah sakit terdekat: RSIA Brawijaya women and children, RSIB Asih, RS pondok indah, Rs setia mitra, Rs fatmawati', 'Sekolah terdekat: mentari international school, alazhar pusat, alazhar syifa budi kemang, sekolah prancis LFJ']","['Swimming Pool', 'AC', 'Carport', 'Garden', 'Garasi', 'Telephone', 'PAM', 'Water heater']",7,5,1,360,Kebayoran Baru,910,24.000.000.000,SHM - Sertifikat Hak Milik,Rumah
214,"['Jual cepat', 'Rumah strategis jagakarsa arah cilandak', ' Spesifikasi rmh', 'Kavling ', 'Lt 180', 'Lb 220', ' Kt 3+1', 'Km 3+1', 'Carport', 'Harga 4.5', None, 'Kavling A ', None, 'Lt 288', 'Lb 250', ""'Kt 4+2"", 'Km 5 + 1', ""'Carport "", 'Kolam renang', None, 'SHM ', ' IMB', ' Harga 6.5']","['AC', 'Carport', 'Garden', 'Swimming Pool']",4,4,2,220,Tebet,180,4.600.000.000,SHM - Sertifikat Hak Milik,Rumah
215,"['RUMAH MEWAH CANTIK ELITE DI KEBAYORAN BARU DKT SCBD SUDIRMAN JAKARTA', None, 'Harga\t\t: 36 M (Nego)', None, 'LT\t\t: 368 m2', 'LB\t\t: 500 m2', 'KT\t\t: 3+1', 'KM\t\t: 3', 'Carport\t: 2 Carport', 'Listrik\t\t: 5000 Watt', 'Air\t\t: PAM', 'AC\t\t: 4 Unit', 'Pemanas Air\t: 2']","['AC', 'Carport', 'Garden', 'Gordyn', 'PAM', 'Water heater']",4,3,2,500,Kebayoran Baru,368,36.000.000.000,SHM - Sertifikat Hak Milik,Rumah
216,"['Jual Rumah Murah di Jakarta - Kemayoran, Jakarta Pusat (Bangunan Tua dan Tanah\xa0di Kemayoran).', None, 'Kami adalah pemilik langsung yang serius untuk menjual properti ini. (Dijual TANPA PERANTARA).', None, 'COCOK UNTUK DIJADIKAN SUMBER INCOME PASIF:', '- Kost / Kos-Kosan', '- Rumah Kontrakan / Rumah Penyewaan / Rumah Sewa', '- Kantor / Tempat Kerja Impian / Co-Working Space / Tempat Usaha / Tempat Bisnis', '- Studio', '- atau Rumah Impian / Tempat Tinggal Impian', None, 'RINCIAN:', '- Sertifikat: SHM - Sertifikat Hak Milik', '- Luas Bangunan: 183 m2', '- Luas Tanah: 210 m2 (8 m x 26.25 m)', '- Tidak Dilengkapi Perabotan (Unfurnished)', '- Kondisi Properti: Bangunan tua', '- Daya Listrik: 3.500 watt', '- Jumlah Lantai: 1', '- Garasi: 1 (bisa 2 mobil didalam)', '- Hadap Timur', '- Kamar Tidur : 6', '- Kamar Mandi : 3', '- Properti Memanjang ke Belakang', None, 'BENEFITS:', '- Lokasi Strategis: Hanya berkisar 30 m mencapai Jalan Garuda.', '- Dekat Mall Golden Truly, Alfamart, penjual makanan sepanjang jalan.', '- Mudah ke Halte Busway, stasiun kereta api, dan stasiun bis luar kota.', None, 'INVESTASI: Rp 4 M (Nego)', '- Biaya sudah termasuk: Tanah, Bangunan, BPHTB (Pajak Pembeli), dan Biaya Notaris.', None, 'ALAMAT DETAIL:', '- Gang Sawo No. 9, RT/RW 010/004, Gunung Sahari Selatan, Kemayoran, Kode Pos : 10640, Jakarta Pusat.', None, 'DOKUMENTASI PROPERTI:', '- Terlampir.', None, None, 'Berminat? Silahkan menghubungi / WA ke nomor yang tertera.', None, None, None, 'Key: rumah dijual di jakarta pusat, jual rumah jakarta pusat, sewa rumah jakarta pusat, jual rumah kemayoran, rumah di jakarta pusat, kost jakarta pusat, jual rumah jakarta, harga rumah di jakarta, harga tanah di jakarta, rumah dijual di jakarta, jual rumah murah di jakarta, jual rumah di jakarta, jual rumah murah jakarta, sewa rumah jakarta, rumah murah di jakarta, sewa rumah murah di jakarta, sewa rumah di jakarta, rumah murah jakarta, sewa rumah murah jakarta, perumahan murah di jakarta, jual tanah jakarta']",['Garasi'],6,3,1,183,Kemayoran,210,4.000.000.000,SHM - Sertifikat Hak Milik,Rumah
217,"['dijual beserta isi', 'free Ac di kamar atas 1 unit', 'free kitchen sett ', '10 menit ke tanah abang', 'dekat dengan rumah sakit ', 'dekat dengan masjid', 'tidak masuk mobil ( di gang) ', '5menit ke tol', None, 'dijual murah karena bu..']","['AC', 'Gordyn', 'PAM']",4,2,2,130,Palmerah,80,650.000.000,SHM - Sertifikat Hak Milik,Rumah
218,"['Lokasi bagus,akses mudah dan dekat kemana-mana..Anda tinggal masuk aja']",['PAM'],3,2,1,300,Duren Sawit,350,3.800.000.000,SHM - Sertifikat Hak Milik,Rumah
219,"['Listing 039', 'Ragunan Jaksel', None, None, 'Luxury home siap huni tanah luas lokasi strategis selangkah ke simatupang Jaksel', None, 'Spesifikasi:', 'Luas Tanah 155 m2', 'Luas Bangunan 282 m2', 'Kamar Tidur 4+1', 'Kamar Mandi 4+1', 'Garasi 1 mobil, carport 1 mobil', 'Listrik 4400 watt', 'AC ', 'Water Heater', 'Kitchen set Dapur kering dan kotor', None, 'Harga 5,5 M Nego', None, 'Selling Point:', 'Exclusive cluster hanya 5 unit  ', 'One gate system ', 'Keamanan 24 jam ', 'Akses mudah dijangkau ', 'Lingkungan aman dan nyaman ', 'Bebas banjir ', 'Dekat dengan kawasan bisnis dan perkantoran ', 'Dekat dengan akses tol ', 'Dekat dengan mall dan tempat hiburan ', None, 'More info:', 'Bang Abdul']","['Carport', 'Garden', 'AC', 'Stove', 'Water heater']",5,5,2,282,Cilandak,155,5.500.000.000,SHM - Sertifikat Hak Milik,Rumah
220,"['Kamu mau yang bagaimana?', 'Pasti sambil nyanyi bacanya ya?', 'Apapun yang kamu mau, aku bisa!', None, 'CUMA DISINI SATU-SATUNYA DEVELOPER YANG KASIH HARGA RUMAH 2 LANTAI LOKASI SUPER BAGUS SANGAT STRATEGIS TERMURAH DI BINTARO!', None, 'CLUSTER BOSTON RESIDENCE BINTARO', None, 'PROMO HARGA 739JT', 'Masih Kurang Murah? Tenang, Bisa NEGO Bro!', 'Mau Apa Lagi? Kita Kasih Nih FREE SHM Senilai 50JTan!', None, 'Bisa Custom Layout Suka-Suka! Ciptakan Rumah Idaman Kamu Di Sini!', '1000000000% ANTI BANJIR! ANTI RAYAP!', None, 'Akses :', '-Pintu TOL Kunciran - Serpong', '-Stasiun KRL Sudimara', '-Fresh Market Bintaro', '-RS. PONDOK INDAH BINTARO', '-Masjid Al-Aqsha', None, 'Cara Pembayaran :', '>>CASH KERAS 739 JUTA NEGO KERAS', '>>CASH BERTAHAP (DP 50% CICILAN 5X)', '>>JALUR KTA - Khusus ', '    PNS/BUMN/TNI/POLRI/PEGAWAI BUMN ', '    (Payroll BNI DAN MNDIRI)', None, 'SURVEY YUK! MAKIN CEPAT BELI MAKIN UNTUNG!']","['AC', 'Carport', 'Garden', 'Garasi']",3,2,2,48,Kebayoran Lama,60,600.000.000,SHM - Sertifikat Hak Milik,Rumah
